Threshold,Precision,Recall,F1,Accuracy,TP,FP,FN,TN
0.2,0.4599999977,0.35658914590469326,0.40174623115561475,0.9086666663637778,92,108,166,2634
0.3,0.4599999977,0.35658914590469326,0.40174623115561475,0.9086666663637778,92,108,166,2634
0.4,0.4599999977,0.35658914590469326,0.40174623115561475,0.9086666663637778,92,108,166,2634
0.5,0.4599999977,0.35658914590469326,0.40174623115561475,0.9086666663637778,92,108,166,2634
0.6,0.4599999977,0.35658914590469326,0.40174623115561475,0.9086666663637778,92,108,166,2634
0.7,0.47647058543252596,0.31395348715521904,0.3785041922663057,0.9113333330295555,81,89,177,2653
